Age,2018-19 - Males ('000),2018-19 - Females ('000),2020-21 - Males ('000),2020-21 - Females ('000),2021-22 - Males ('000),2021-22 - Females ('000)
0,2.41,2.21,0.97,0.91,1.35,1.28
1,2.89,2.76,1.29,1.24,2.06,1.91
2,2.96,2.84,1.25,1.18,2.19,2.08
3,2.94,2.94,1.20,1.17,2.37,2.19
4,3.11,2.81,1.31,1.18,2.32,2.41
5,2.76,2.64,1.18,1.06,2.29,2.24
6,2.47,2.43,1.10,0.89,1.99,2.00
7,2.31,2.18,0.96,0.89,1.93,1.84
8,2.24,2.13,0.93,0.85,1.81,1.74
9,2.10,2.02,0.92,0.84,1.82,1.72
10,2.13,1.95,0.90,0.79,1.70,1.65
11,1.91,1.96,0.80,0.83,1.61,1.48
12,1.82,1.70,0.84,0.77,1.56,1.50
13,1.75,1.68,0.71,0.66,1.53,1.38
14,1.80,1.80,0.67,0.65,1.53,1.43
15,2.00,2.04,0.65,0.62,1.37,1.42
16,2.14,2.16,0.54,0.61,1.36,1.40
17,4.10,3.76,0.57,0.53,1.76,1.84
18,9.89,7.97,0.70,0.71,4.81,4.42
19,10.83,8.71,0.83,0.83,8.79,7.32
20,8.72,7.53,0.75,0.71,10.11,7.64
21,9.75,8.85,0.86,0.85,8.89,7.11
22,13.67,12.55,1.09,1.03,7.79,6.93
23,15.05,13.73,1.25,1.24,8.02,7.78
24,13.65,13.10,1.37,1.46,8.19,8.33
25,12.28,12.73,1.66,1.78,7.96,8.20
26,11.36,12.02,1.74,1.91,7.14,7.64
27,10.63,11.30,1.82,2.12,6.74,7.34
28,9.94,10.75,1.83,2.25,6.30,6.72
29,9.26,9.49,1.93,2.22,5.83,6.06
30,8.13,8.51,1.97,2.23,5.45,5.73
31,7.04,7.25,2.12,2.15,5.07,5.04
32,6.36,6.24,1.98,2.06,4.48,4.63
33,5.63,5.51,1.95,2.05,4.28,4.11
34,4.91,4.93,1.95,1.83,4.01,3.81
35,4.54,4.36,1.83,1.72,3.62,3.40
36,4.26,4.14,1.73,1.57,3.33,3.18
37,3.78,3.68,1.72,1.57,3.21,3.01
38,3.46,3.18,1.46,1.45,2.92,2.70
39,3.20,3.00,1.53,1.33,2.66,2.56
40,2.93,2.76,1.36,1.24,2.47,2.27
41,2.47,2.45,1.27,1.14,2.33,2.16
42,2.29,2.17,1.17,1.03,2.07,2.00
43,2.21,1.99,1.09,0.93,1.80,1.72
44,1.97,1.93,1.01,0.94,1.65,1.58
45,1.89,1.83,0.91,0.85,1.37,1.32
46,1.75,1.73,0.88,0.77,1.35,1.13
47,1.61,1.62,0.85,0.75,1.15,1.15
48,1.43,1.50,0.82,0.68,1.13,1.12
49,1.36,1.48,0.84,0.68,1.08,1.10
50,1.28,1.41,0.78,0.64,1.00,1.09
51,1.24,1.28,0.68,0.62,0.99,1.07
52,1.18,1.30,0.67,0.55,0.90,1.07
53,1.12,1.34,0.63,0.56,0.88,1.18
54,1.17,1.47,0.61,0.50,0.86,1.19
55,1.18,1.66,0.58,0.54,0.70,0.95
56,1.15,1.67,0.62,0.52,0.70,1.03
57,1.07,1.45,0.61,0.64,0.75,1.16
58,1.04,1.54,0.58,0.55,0.77,1.16
59,1.16,1.61,0.54,0.53,0.75,1.15
60,1.19,1.58,0.56,0.55,0.77,1.08
61,1.26,1.58,0.54,0.49,0.79,1.09
62,1.23,1.54,0.53,0.50,0.74,1.11
63,1.22,1.57,0.50,0.51,0.83,1.08
64,1.19,1.41,0.47,0.44,0.77,1.10
65,1.21,1.24,0.46,0.47,0.84,0.99
66,1.03,1.09,0.49,0.42,0.84,1.00
67,0.92,0.97,0.39,0.35,0.73,0.87
68,0.84,0.79,0.35,0.32,0.70,0.79
69,0.80,0.78,0.37,0.27,0.65,0.69
70,0.71,0.71,0.32,0.26,0.57,0.58
71,0.61,0.58,0.28,0.25,0.53,0.53
72,0.57,0.53,0.28,0.20,0.47,0.47
73,0.43,0.43,0.25,0.17,0.44,0.45
74,0.37,0.38,0.23,0.15,0.39,0.39
75,0.32,0.30,0.18,0.14,0.32,0.32
76,0.28,0.27,0.15,0.11,0.29,0.27
77,0.27,0.24,0.11,0.09,0.25,0.23
78,0.22,0.23,0.11,0.10,0.19,0.18
79,0.19,0.19,0.09,0.07,0.18,0.17
80,0.14,0.17,0.08,0.06,0.15,0.16
81,0.14,0.15,0.08,0.06,0.12,0.12
82,0.10,0.11,0.05,0.04,0.10,0.11
83,0.09,0.10,0.04,0.04,0.08,0.10
84,0.08,0.08,0.04,0.05,0.08,0.08
85,0.07,0.07,0.03,0.02,0.06,0.08
86,0.06,0.05,0.03,0.03,0.04,0.05
87,0.03,0.05,0.01,0.02,0.02,0.04
88,0.03,0.04,0.01,0.01,0.03,0.04
89,0.03,0.02,0.02,0.01,0.02,0.03
90,0.02,0.02,0.01,0.00,0.02,0.02
91,0.01,0.02,0.01,0.01,0.01,0.02
92,0.01,0.01,0.00,0.01,0.01,0.01
93,0.00,0.01,0.01,0.00,0.00,0.01
94,0.01,0.01,0.00,0.01,0.00,0.01
95,0.00,0.00,0.00,0.00,0.00,0.01
96,0.00,0.01,0.00,0.00,0.00,0.00
97,0.00,0.00,0.00,0.00,0.00,0.00
98,0.00,0.00,0.00,0.00,0.00,0.00
99,0.00,0.00,0.00,0.00,0.00,0.00
100+,0.00,0.01,0.00,0.00,0.00,0.00

